epoch,train_loss,train_acc,val_loss,val_acc,val_acc5
1,1.5991,0.6125,0.0000,0.0000,0.0000
2,0.1630,1.0000,0.0000,0.0000,0.0000
3,0.0187,1.0000,0.0000,0.0000,0.0000
4,0.0024,1.0000,0.0000,0.0000,0.0000
5,0.0003,1.0000,0.0000,0.0000,0.0000
6,0.0001,1.0000,0.0000,0.0000,0.0000
7,0.0000,1.0000,0.0000,0.0000,0.0000
8,0.0000,1.0000,0.0000,0.0000,0.0000
9,0.0000,1.0000,0.0000,0.0000,0.0000
10,0.0000,1.0000,0.0000,0.0000,0.0000
11,0.0000,1.0000,0.0000,0.0000,0.0000
12,0.0000,1.0000,0.0000,0.0000,0.0000
13,0.0000,1.0000,0.0000,0.0000,0.0000
14,0.0000,1.0000,0.0000,0.0000,0.0000
15,0.0000,1.0000,0.0000,0.0000,0.0000
16,0.0000,1.0000,0.0000,0.0000,0.0000
17,0.0000,1.0000,0.0000,0.0000,0.0000
18,0.0000,1.0000,0.0000,0.0000,0.0000
19,0.0000,1.0000,0.0000,0.0000,0.0000
20,0.0000,1.0000,0.0000,0.0000,0.0000
