epoch,train_loss,train_acc,val_loss,val_acc,val_acc5
1,2.4073,0.0900,2.3179,0.0942,0.5105
2,2.3318,0.1000,2.3412,0.0946,0.5093
3,2.3554,0.1050,2.3139,0.1088,0.5194
4,2.3250,0.1100,2.3082,0.1242,0.5103
5,2.2983,0.1050,2.3028,0.0961,0.5493
6,2.2677,0.1400,2.2993,0.0950,0.5515
7,2.2989,0.1150,2.2969,0.1165,0.5563
8,2.2726,0.1600,2.2923,0.1284,0.5678
9,2.2717,0.1150,2.2894,0.1280,0.5735
10,2.2371,0.1550,2.2886,0.1201,0.5764
11,2.2673,0.1450,2.2883,0.1272,0.5745
12,2.2301,0.1450,2.2865,0.1293,0.5747
13,2.2252,0.1400,2.2855,0.1321,0.5797
14,2.2266,0.1750,2.2852,0.1288,0.5810
15,2.2268,0.1650,2.2852,0.1250,0.5809
16,2.2104,0.1450,2.2854,0.1237,0.5820
17,2.2337,0.1450,2.2859,0.1217,0.5832
18,2.2226,0.1750,2.2856,0.1221,0.5829
19,2.2075,0.1700,2.2852,0.1235,0.5866
20,2.2110,0.1750,2.2849,0.1261,0.5875
21,2.2101,0.1800,2.2849,0.1270,0.5884
22,2.2008,0.2150,2.2850,0.1270,0.5871
23,2.1991,0.1650,2.2850,0.1275,0.5886
24,2.2075,0.1500,2.2851,0.1275,0.5876
25,2.1984,0.1700,2.2851,0.1271,0.5879
26,2.2044,0.2300,2.2851,0.1269,0.5880
27,2.2127,0.2050,2.2851,0.1269,0.5879
28,2.2075,0.2050,2.2851,0.1269,0.5879
29,2.2174,0.1950,2.2851,0.1270,0.5879
30,2.2063,0.1500,2.2851,0.1269,0.5872
