epoch,train_loss,train_acc,val_loss,val_acc,val_acc5
1,2.2539,0.1598,2.2036,0.1805,0.6689
2,2.2377,0.1676,2.1993,0.1874,0.6730
3,2.2272,0.1716,2.1924,0.1808,0.6521
4,2.2362,0.1697,2.2031,0.1879,0.6638
5,2.2332,0.1700,2.1963,0.1921,0.6692
6,2.2251,0.1728,2.1894,0.1830,0.6562
7,2.2143,0.1800,2.1915,0.1776,0.6643
8,2.2204,0.1752,2.1907,0.1751,0.6771
9,2.2220,0.1757,2.1901,0.1800,0.6817
10,2.2436,0.1707,2.2057,0.1917,0.6658
11,2.2361,0.1710,2.1968,0.1911,0.6697
12,2.2250,0.1739,2.1873,0.1855,0.6563
13,2.2155,0.1777,2.1875,0.1793,0.6703
14,2.2380,0.1700,2.2006,0.1939,0.6640
15,2.2343,0.1716,2.1971,0.1922,0.6681
16,2.2238,0.1749,2.1870,0.1841,0.6592
17,2.2249,0.1768,2.2003,0.1933,0.6692
18,2.2331,0.1741,2.1952,0.1900,0.6679
19,2.2310,0.1720,2.1946,0.1908,0.6704
20,2.2300,0.1750,2.1944,0.1906,0.6722
21,2.2282,0.1770,2.1897,0.1914,0.6766
22,2.2219,0.1754,2.1861,0.1843,0.6569
23,2.2304,0.1764,2.1929,0.1909,0.6685
24,2.2290,0.1741,2.1934,0.1904,0.6735
25,2.2218,0.1756,2.1868,0.1838,0.6587
26,2.2129,0.1805,2.1874,0.1799,0.6668
27,2.2365,0.1745,2.1998,0.1896,0.6661
28,2.2327,0.1736,2.1943,0.1897,0.6678
29,2.2221,0.1764,2.1854,0.1845,0.6592
30,2.2114,0.1794,2.1871,0.1784,0.6676
