epoch,train_loss,val_loss,val_auc,val_f1,val_acc
1,0.6939,0.4111,0.8192,0.0000,0.8071
2,0.5969,0.4130,0.8186,0.0000,0.8071
3,0.5101,0.3951,0.8245,0.0000,0.8071
4,0.5737,0.4782,0.7787,0.0000,0.8071
5,0.5397,0.4771,0.8204,0.0000,0.8071
6,0.5367,0.4671,0.8121,0.0000,0.8071
7,0.5503,0.4678,0.8112,0.0000,0.8071
8,0.5533,0.4655,0.8220,0.0000,0.8071
9,0.5477,0.4519,0.8091,0.0000,0.8071
10,0.5469,0.4634,0.8033,0.0000,0.8071
11,0.5379,0.4673,0.7549,0.0000,0.8071
12,0.5298,0.4530,0.8214,0.0000,0.8071
13,0.5465,0.4651,0.8108,0.0000,0.8071
14,0.5609,0.4906,0.8133,0.0000,0.8071
15,0.5810,0.4509,0.8264,0.0000,0.8071
